start	end	action	reward
4.0	9.0	0.0	-17607.0
9.0	8.0	3.0	8646.0
8.0	0.0	0.0	-9610.0
0.0	2.0	0.0	17614.0
2.0	5.0	0.0	748.0
5.0	6.0	0.0	-4883.0
6.0	7.0	0.0	-11580.0
7.0	3.0	0.0	10150.0
3.0	1.0	0.0	20673.0
1.0	7.0	3.0	-17981.0
7.0	9.0	3.0	6368.0
9.0	0.0	0.0	-2075.0
2.0	8.0	3.0	-1277.0
8.0	5.0	3.0	9681.0
5.0	4.0	3.0	-708.0
4.0	0.0	3.0	1971.0
0.0	3.0	0.0	1813.0
3.0	5.0	2.0	1090.0
5.0	4.0	2.0	-2447.0
4.0	2.0	2.0	-5377.0
2.0	9.0	0.0	19019.0
9.0	6.0	1.0	-14403.0
6.0	1.0	0.0	-3875.0
1.0	7.0	0.0	8022.0
7.0	8.0	0.0	11373.0
8.0	0.0	2.0	2782.0
5.0	0.0	0.0	18445.0
0.0	1.0	1.0	-19185.0
1.0	9.0	0.0	-3947.0
9.0	4.0	3.0	12590.0
4.0	2.0	0.0	-1881.0
2.0	3.0	0.0	16460.0
3.0	6.0	0.0	-4363.0
6.0	7.0	1.0	-734.0
7.0	0.0	3.0	17125.0
0.0	9.0	3.0	-23741.0
9.0	6.0	0.0	18648.0
6.0	2.0	3.0	3780.0
2.0	5.0	0.0	5974.0
5.0	1.0	3.0	22455.0
3.0	4.0	0.0	12770.0
4.0	1.0	3.0	11189.0
1.0	6.0	1.0	-10457.0
6.0	4.0	0.0	-16666.0
4.0	5.0	0.0	3853.0
5.0	3.0	0.0	8802.0
3.0	8.0	3.0	5191.0
8.0	0.0	3.0	-3928.0
0.0	7.0	0.0	14590.0
7.0	9.0	3.0	15201.0
9.0	2.0	0.0	252.0
2.0	0.0	2.0	1278.0
0.0	8.0	0.0	-17779.0
8.0	3.0	0.0	715.0
3.0	6.0	0.0	405.0
6.0	7.0	1.0	-5129.0
7.0	9.0	0.0	1299.0
9.0	4.0	0.0	7175.0
4.0	1.0	1.0	-10830.0
1.0	4.0	0.0	-495.0
4.0	6.0	0.0	-15469.0
6.0	5.0	0.0	-1188.0
5.0	9.0	3.0	369.0
9.0	7.0	3.0	14077.0
7.0	0.0	0.0	-23691.0
0.0	2.0	0.0	21165.0
2.0	3.0	2.0	7796.0
3.0	8.0	0.0	3141.0
5.0	8.0	3.0	832.0
8.0	1.0	0.0	3552.0
1.0	2.0	1.0	2753.0
2.0	6.0	0.0	-160.0
6.0	9.0	1.0	-1820.0
9.0	3.0	3.0	8497.0
3.0	7.0	3.0	3557.0
7.0	4.0	3.0	-3915.0
4.0	9.0	3.0	9836.0
9.0	8.0	2.0	-6001.0
8.0	3.0	2.0	2608.0
3.0	0.0	0.0	9654.0
0.0	6.0	4.0	107724.0
6.0	7.0	0.0	-9358.0
2.0	1.0	0.0	1748.0
1.0	7.0	0.0	928.0
7.0	3.0	3.0	6711.0
3.0	1.0	3.0	1719.0
1.0	9.0	0.0	-11127.0
9.0	5.0	3.0	14181.0
5.0	6.0	4.0	94660.0
6.0	4.0	0.0	-14143.0
4.0	8.0	0.0	-4497.0
8.0	0.0	0.0	13877.0
0.0	2.0	2.0	2395.0
2.0	5.0	2.0	-8041.0
5.0	0.0	3.0	10795.0
0.0	4.0	0.0	4136.0
8.0	3.0	0.0	4487.0
3.0	9.0	0.0	1533.0
9.0	4.0	0.0	5572.0
4.0	1.0	3.0	10759.0
1.0	6.0	1.0	-9945.0
6.0	0.0	3.0	-2792.0
0.0	4.0	0.0	10449.0
4.0	3.0	0.0	977.0
3.0	9.0	0.0	265.0
9.0	5.0	3.0	13604.0
5.0	7.0	3.0	5400.0
7.0	2.0	0.0	551.0
2.0	1.0	1.0	-6250.0
1.0	8.0	2.0	4031.0
4.0	5.0	3.0	6706.0
5.0	1.0	1.0	-2737.0
1.0	6.0	1.0	-9301.0
6.0	0.0	0.0	-1021.0
0.0	8.0	3.0	5018.0
8.0	3.0	0.0	-8305.0
3.0	2.0	3.0	261.0
2.0	7.0	0.0	13348.0
7.0	2.0	0.0	5593.0
2.0	8.0	2.0	5736.0
8.0	9.0	3.0	205.0
9.0	6.0	4.0	104626.0
6.0	5.0	2.0	-5246.0
5.0	0.0	0.0	-2188.0
3.0	1.0	1.0	-2265.0
1.0	0.0	0.0	-264.0
0.0	5.0	0.0	2176.0
5.0	9.0	0.0	11829.0
9.0	4.0	0.0	-6419.0
4.0	7.0	0.0	-727.0
7.0	8.0	3.0	-3393.0
8.0	1.0	3.0	12390.0
1.0	3.0	0.0	11334.0
3.0	2.0	0.0	14113.0
2.0	6.0	4.0	94222.0
6.0	3.0	3.0	3383.0
3.0	2.0	3.0	9975.0
2.0	4.0	0.0	9116.0
1.0	0.0	3.0	5764.0
0.0	7.0	0.0	8138.0
7.0	5.0	0.0	-9026.0
5.0	9.0	3.0	7083.0
9.0	4.0	0.0	-9512.0
4.0	6.0	4.0	114409.0
6.0	1.0	1.0	-32744.0
1.0	0.0	1.0	22016.0
0.0	5.0	3.0	-7115.0
5.0	9.0	0.0	2872.0
9.0	2.0	0.0	16874.0
2.0	3.0	0.0	8019.0
3.0	8.0	0.0	7448.0
8.0	7.0	3.0	7786.0
7.0	5.0	0.0	-5078.0
5.0	1.0	1.0	-12196.0
1.0	3.0	1.0	1614.0
3.0	9.0	0.0	-8248.0
9.0	6.0	0.0	14410.0
6.0	8.0	0.0	8870.0
8.0	2.0	3.0	-12741.0
2.0	4.0	0.0	7715.0
4.0	5.0	0.0	6863.0
5.0	8.0	3.0	12570.0
8.0	7.0	2.0	-10900.0
7.0	9.0	0.0	-9080.0
9.0	2.0	2.0	11938.0
2.0	0.0	0.0	1566.0
3.0	0.0	3.0	12707.0
0.0	1.0	3.0	-14223.0
1.0	6.0	1.0	2153.0
6.0	9.0	3.0	61.0
9.0	5.0	0.0	-4100.0
5.0	4.0	3.0	5715.0
4.0	0.0	0.0	3004.0
0.0	2.0	0.0	-11346.0
2.0	3.0	3.0	14626.0
3.0	8.0	3.0	20439.0
8.0	7.0	3.0	-3165.0
7.0	2.0	0.0	-8191.0
2.0	9.0	2.0	-1595.0
9.0	0.0	2.0	-142.0
5.0	8.0	0.0	-4216.0
8.0	4.0	0.0	17998.0
4.0	0.0	0.0	9541.0
0.0	6.0	0.0	-2900.0
6.0	1.0	3.0	1825.0
1.0	4.0	0.0	7301.0
4.0	8.0	3.0	6409.0
8.0	5.0	0.0	-37707.0
5.0	7.0	3.0	30034.0
7.0	6.0	0.0	-18492.0
6.0	3.0	3.0	9951.0
3.0	9.0	3.0	5518.0
9.0	2.0	0.0	3764.0
2.0	0.0	0.0	3858.0
4.0	5.0	3.0	2933.0
5.0	9.0	0.0	4391.0
9.0	2.0	0.0	1087.0
2.0	7.0	3.0	7642.0
7.0	3.0	3.0	-2294.0
3.0	0.0	3.0	17832.0
0.0	8.0	0.0	-26030.0
8.0	1.0	0.0	9992.0
1.0	2.0	3.0	-552.0
2.0	9.0	0.0	-3406.0
9.0	6.0	4.0	110092.0
6.0	5.0	0.0	-15418.0
5.0	0.0	0.0	8621.0
0.0	4.0	3.0	10504.0
7.0	8.0	0.0	6315.0
8.0	4.0	0.0	15473.0
4.0	2.0	0.0	1020.0
2.0	1.0	1.0	1960.0
1.0	5.0	1.0	-4009.0
5.0	8.0	3.0	11314.0
8.0	9.0	0.0	-731.0
9.0	0.0	3.0	-961.0
0.0	3.0	3.0	11248.0
3.0	7.0	0.0	6174.0
7.0	6.0	3.0	8645.0
6.0	4.0	3.0	10261.0
4.0	2.0	0.0	-6762.0
2.0	9.0	0.0	19067.0
9.0	1.0	3.0	15950.0
1.0	7.0	3.0	-7569.0
7.0	5.0	3.0	1597.0
5.0	3.0	3.0	3247.0
3.0	8.0	0.0	14124.0
8.0	9.0	0.0	1028.0
9.0	0.0	3.0	1125.0
0.0	6.0	4.0	101819.0
6.0	5.0	0.0	-6295.0
5.0	1.0	1.0	-2747.0
1.0	2.0	1.0	-11048.0
2.0	7.0	2.0	4295.0
7.0	3.0	0.0	-6463.0
3.0	4.0	0.0	18565.0
1.0	8.0	0.0	4527.0
8.0	0.0	0.0	3520.0
0.0	7.0	0.0	8124.0
7.0	3.0	3.0	29548.0
3.0	2.0	0.0	-8369.0
2.0	6.0	4.0	104050.0
6.0	5.0	0.0	-18982.0
5.0	4.0	0.0	14473.0
4.0	5.0	3.0	19079.0
5.0	2.0	0.0	-13676.0
2.0	1.0	2.0	-26860.0
1.0	9.0	0.0	-14455.0
9.0	3.0	0.0	20411.0
3.0	8.0	0.0	8079.0
6.0	8.0	0.0	-233.0
8.0	7.0	3.0	7866.0
7.0	2.0	3.0	3944.0
2.0	5.0	0.0	-2361.0
5.0	1.0	0.0	7655.0
1.0	6.0	2.0	3293.0
6.0	4.0	3.0	-2904.0
4.0	9.0	3.0	5372.0
9.0	3.0	3.0	1510.0
3.0	0.0	0.0	3868.0
0.0	8.0	0.0	-14092.0
8.0	5.0	0.0	2327.0
5.0	7.0	0.0	531.0
7.0	2.0	2.0	-3142.0
2.0	3.0	3.0	2085.0
3.0	6.0	0.0	4921.0
6.0	1.0	1.0	-7957.0
1.0	0.0	0.0	3506.0
0.0	9.0	0.0	-7051.0
9.0	0.0	3.0	12057.0
0.0	2.0	0.0	-17169.0
2.0	5.0	3.0	15558.0
5.0	6.0	3.0	6130.0
6.0	7.0	1.0	-16972.0
7.0	1.0	0.0	5260.0
1.0	3.0	2.0	4081.0
3.0	4.0	0.0	-4720.0
4.0	8.0	0.0	15773.0
2.0	4.0	3.0	8245.0
4.0	3.0	0.0	-604.0
3.0	7.0	0.0	10774.0
7.0	8.0	0.0	19218.0
8.0	0.0	0.0	-12669.0
0.0	1.0	1.0	-3966.0
1.0	9.0	3.0	9627.0
9.0	5.0	0.0	-11769.0
5.0	0.0	3.0	7746.0
0.0	2.0	2.0	2423.0
2.0	9.0	0.0	3883.0
9.0	8.0	0.0	13933.0
8.0	4.0	0.0	-14541.0
4.0	3.0	0.0	4048.0
7.0	6.0	3.0	5350.0
6.0	1.0	1.0	-9676.0
1.0	9.0	0.0	-5249.0
9.0	2.0	0.0	2279.0
2.0	8.0	0.0	13419.0
8.0	0.0	0.0	8880.0
0.0	6.0	2.0	-8671.0
