start	end	action	reward
9.0	1.0	3.0	846.0
1.0	5.0	3.0	1928.0
5.0	3.0	0.0	8800.0
3.0	7.0	0.0	19093.0
7.0	0.0	0.0	3963.0
0.0	4.0	3.0	14911.0
4.0	8.0	3.0	-1825.0
8.0	2.0	0.0	16500.0
2.0	5.0	2.0	-7388.0
5.0	3.0	0.0	1747.0
3.0	6.0	0.0	1127.0
6.0	8.0	2.0	8826.0
8.0	0.0	3.0	-1642.0
0.0	4.0	2.0	-6891.0
4.0	1.0	1.0	-12627.0
1.0	7.0	3.0	8289.0
7.0	5.0	3.0	3594.0
5.0	9.0	3.0	3101.0
9.0	4.0	2.0	-8593.0
4.0	8.0	3.0	5486.0
8.0	6.0	1.0	-261.0
6.0	1.0	4.0	101740.0
1.0	2.0	1.0	1604.0
2.0	3.0	3.0	6369.0
3.0	0.0	0.0	2432.0
0.0	3.0	0.0	6705.0
3.0	9.0	2.0	5369.0
9.0	4.0	0.0	-22532.0
4.0	7.0	3.0	1349.0
7.0	5.0	3.0	7052.0
5.0	2.0	0.0	-316.0
2.0	6.0	3.0	13012.0
6.0	1.0	1.0	-12680.0
1.0	9.0	3.0	3553.0
9.0	3.0	0.0	15204.0
3.0	2.0	3.0	175.0
2.0	7.0	2.0	7979.0
7.0	6.0	2.0	-4049.0
6.0	5.0	0.0	-25522.0
5.0	0.0	3.0	9247.0
0.0	4.0	3.0	8774.0
4.0	8.0	3.0	-7231.0
0.0	9.0	0.0	-4171.0
9.0	3.0	3.0	13241.0
3.0	6.0	3.0	2326.0
6.0	4.0	0.0	-14725.0
4.0	1.0	1.0	-8039.0
1.0	7.0	0.0	-1420.0
7.0	2.0	0.0	4809.0
2.0	8.0	3.0	6185.0
8.0	0.0	0.0	132.0
0.0	6.0	4.0	93876.0
6.0	7.0	0.0	11351.0
7.0	3.0	2.0	3137.0
3.0	2.0	0.0	-4234.0
2.0	5.0	0.0	21195.0
9.0	1.0	0.0	-9731.0
1.0	5.0	1.0	4082.0
5.0	0.0	3.0	-1750.0
0.0	4.0	3.0	957.0
4.0	1.0	1.0	7506.0
1.0	6.0	4.0	106114.0
6.0	2.0	0.0	-13364.0
2.0	7.0	3.0	18203.0
7.0	3.0	0.0	4116.0
3.0	9.0	0.0	4312.0
9.0	8.0	3.0	861.0
8.0	7.0	2.0	-1690.0
7.0	2.0	0.0	7206.0
2.0	4.0	0.0	10859.0
9.0	6.0	0.0	3774.0
6.0	3.0	3.0	7680.0
3.0	0.0	3.0	3341.0
0.0	4.0	3.0	2173.0
4.0	5.0	0.0	-13930.0
5.0	4.0	2.0	10633.0
4.0	1.0	3.0	854.0
1.0	7.0	3.0	2312.0
7.0	9.0	3.0	-3581.0
9.0	0.0	0.0	15158.0
0.0	8.0	0.0	-8114.0
8.0	3.0	0.0	23664.0
3.0	2.0	3.0	-11757.0
2.0	6.0	4.0	96158.0
4.0	2.0	3.0	6272.0
2.0	8.0	0.0	8475.0
8.0	5.0	0.0	-13285.0
5.0	6.0	4.0	109781.0
6.0	0.0	3.0	12214.0
0.0	1.0	0.0	5689.0
1.0	7.0	0.0	-16705.0
7.0	9.0	3.0	10416.0
