start	end	action	reward
8.0	4.0	3.0	4091.0
4.0	7.0	3.0	3764.0
7.0	0.0	0.0	4817.0
0.0	1.0	3.0	15747.0
1.0	6.0	1.0	-11357.0
6.0	9.0	1.0	1521.0
9.0	2.0	0.0	-9973.0
2.0	5.0	3.0	15730.0
5.0	4.0	2.0	1990.0
4.0	3.0	3.0	-4665.0
3.0	1.0	2.0	-2494.0
1.0	8.0	3.0	9554.0
8.0	2.0	3.0	-5227.0
2.0	6.0	3.0	15700.0
6.0	0.0	0.0	-15777.0
0.0	7.0	0.0	14130.0
7.0	8.0	3.0	4802.0
8.0	3.0	3.0	-7116.0
3.0	5.0	3.0	13813.0
5.0	1.0	3.0	127.0
1.0	6.0	1.0	-2731.0
6.0	0.0	1.0	5079.0
0.0	9.0	3.0	10885.0
9.0	4.0	3.0	10373.0
4.0	2.0	3.0	-5488.0
2.0	9.0	2.0	-5174.0
9.0	0.0	0.0	-11913.0
0.0	5.0	0.0	5677.0
5.0	1.0	3.0	9950.0
1.0	6.0	0.0	-3011.0
6.0	7.0	1.0	6593.0
7.0	3.0	3.0	2587.0
3.0	4.0	3.0	9846.0
4.0	0.0	3.0	-3369.0
0.0	2.0	3.0	5653.0
2.0	9.0	3.0	-817.0
9.0	8.0	3.0	3763.0
8.0	1.0	0.0	-5825.0
1.0	3.0	2.0	4942.0
3.0	5.0	3.0	2128.0
5.0	6.0	0.0	-8759.0
6.0	7.0	0.0	7119.0
0.0	7.0	0.0	-2633.0
7.0	1.0	0.0	15384.0
1.0	5.0	0.0	694.0
5.0	9.0	3.0	1142.0
9.0	6.0	1.0	-6526.0
6.0	8.0	1.0	6943.0
8.0	2.0	3.0	-2287.0
2.0	3.0	3.0	7884.0
3.0	6.0	4.0	107492.0
6.0	2.0	2.0	-1787.0
2.0	8.0	0.0	-6912.0
8.0	7.0	0.0	3336.0
7.0	9.0	2.0	11785.0
9.0	0.0	0.0	-11643.0
0.0	4.0	3.0	9270.0
4.0	5.0	0.0	9969.0
5.0	4.0	2.0	4402.0
4.0	1.0	0.0	-14511.0
1.0	3.0	0.0	-1628.0
3.0	8.0	3.0	5774.0
8.0	2.0	3.0	1951.0
2.0	9.0	3.0	-4610.0
9.0	6.0	0.0	1461.0
6.0	0.0	3.0	4996.0
0.0	7.0	3.0	198.0
7.0	3.0	0.0	-4917.0
3.0	0.0	2.0	12030.0
0.0	9.0	2.0	-546.0
4.0	6.0	3.0	-282.0
6.0	9.0	1.0	9431.0
9.0	5.0	3.0	-262.0
5.0	2.0	3.0	13296.0
2.0	8.0	3.0	-9799.0
8.0	2.0	2.0	-3638.0
2.0	9.0	0.0	13494.0
9.0	4.0	3.0	440.0
4.0	1.0	3.0	7089.0
1.0	6.0	0.0	-2939.0
6.0	5.0	0.0	-17374.0
5.0	3.0	0.0	19010.0
3.0	0.0	3.0	11036.0
0.0	7.0	3.0	-2764.0
